№,Секунда,Микросекунда
1,2,201146
2,2,211177
3,2,221651
4,2,232165
5,2,242660
6,2,252955
7,2,263006
8,2,273347
9,2,283593
10,2,293670
11,2,303707
12,2,313964
13,2,324397
14,2,334460
15,2,344957
16,2,355313
17,2,365489
18,2,375521
19,2,385638
20,2,395955
21,2,406463
22,2,416687
23,2,426957
24,2,437480
25,2,447792
26,2,457827
27,2,467957
28,2,478288
29,2,488320
30,2,498813
31,2,508968
32,2,519074
33,2,529599
34,2,539979
35,2,550479
36,2,560961
37,2,571486
38,2,581506
39,2,591849
40,2,601904
41,2,611938
42,2,622453
43,2,632474
44,2,642505
45,2,653075
46,2,663521
47,2,674204
48,2,684658
49,2,695161
50,2,705189
51,2,715210
52,2,725247
53,2,735629
54,2,746133
55,2,756169
56,2,766341
57,2,776372
58,2,786597
59,2,796804
60,2,806847
61,2,817355
62,2,827850
63,2,837875
64,2,848382
65,2,858884
66,2,868904
67,2,879153
68,2,889470
69,2,899997
70,2,910468
71,2,920981
72,2,931506
73,2,941527
74,2,952051
75,2,962545
76,2,972967
77,2,983482
78,2,994003
79,3,4488
80,3,15026
81,3,25483
82,3,35989
83,3,46488
84,3,57021
85,3,67088
86,3,77520
87,3,87551
88,3,97669
89,3,108397
90,3,118701
91,3,129203
92,3,139714
93,3,150206
94,3,160491
95,3,170999
96,3,181502
97,3,192020
98,3,202260
99,3,212340
100,3,222849
101,3,232892
102,3,243155
103,3,253645
104,3,264138
105,3,274199
106,3,284688
107,3,295220
108,3,305690
109,3,315718
110,3,326261
111,3,336284
112,3,346788
113,3,357310
114,3,367474
115,3,377985
116,3,388483
117,3,399004
118,3,409500
119,3,419995
120,3,430491
121,3,441023
122,3,451537
123,3,462025
124,3,472525
125,3,482801
126,3,492827
127,3,503670
128,3,514135
129,3,524419
130,3,534480
131,3,544510
132,3,554988
133,3,565490
134,3,575508
135,3,585977
136,3,596494
137,3,607002
138,3,617506
139,3,627576
140,3,637661
141,3,647688
142,3,658009
143,3,668640
144,3,678666
145,3,688893
146,3,698969
147,3,709477
148,3,720029
149,3,730359
150,3,740882
151,3,751387
152,3,761644
153,3,771949
154,3,782042
155,3,792411
156,3,802469
157,3,812719
158,3,822836
159,3,832901
160,3,842928
161,3,852955
162,3,863018
163,3,873505
164,3,883795
165,3,894334
166,3,904811
167,3,915021
168,3,925594
169,3,936048
170,3,946557
171,3,957115
172,3,967590
173,3,978099
174,3,988630
175,3,999116
176,4,9623
177,4,20018
178,4,30142
179,4,40449
180,4,50658
181,4,61134
182,4,71669
183,4,81998
184,4,92521
185,4,103033
186,4,113506
187,4,124013
188,4,134512
189,4,145019
190,4,155501
191,4,166013
192,4,176543
193,4,187000
194,4,197061
195,4,207168
196,4,217651
197,4,228147
198,4,238692
199,4,249187
200,4,259694
201,4,270216
202,4,280708
203,4,291225
204,4,301752
205,4,311777
206,4,321999
207,4,332047
208,4,342374
209,4,352508
210,4,363012
211,4,373542
212,4,383774
213,4,393797
214,4,404005
215,4,414521
216,4,424890
217,4,435020
218,4,445069
219,4,455618
220,4,466136
221,4,476210
222,4,486731
223,4,497244
224,4,507748
225,4,518259
226,4,528587
227,4,538742
228,4,548883
229,4,558948
230,4,569022
231,4,579112
232,4,589684
233,4,599896
234,4,609937
235,4,619974
236,4,630511
237,4,640989
238,4,651022
239,4,661605
240,4,672067
241,4,682285
242,4,692330
243,4,702356
244,4,712516
245,4,723011
246,4,733510
247,4,744017
248,4,754525
249,4,765030
250,4,775526
251,4,785708
252,4,796392
253,4,806924
254,4,817059
255,4,827428
256,4,837661
257,4,847704
258,4,858388
259,4,868889
260,4,879407
261,4,889437
262,4,899877
263,4,910381
264,4,920397
265,4,930715
266,4,941247
267,4,951719
268,4,962235
269,4,972482
270,4,982963
271,4,993009
272,5,3534
273,5,14021
274,5,24046
275,5,34567
276,5,45062
277,5,55426
278,5,65697
279,5,75942
280,5,86448
281,5,96991
282,5,107469
283,5,117979
284,5,128000
285,5,138507
286,5,148944
287,5,159179
288,5,169491
289,5,180219
290,5,190531
291,5,201039
292,5,211306
293,5,221643
294,5,232132
295,5,242633
296,5,253160
297,5,263382
298,5,273882
299,5,284408
300,5,294887
